State,State_Abbr,EV_Count,AFDC_Charging_Station_Count,Level2_Charger_Count,DC_Fast_Charger_Count,Public_Station_Count,Private_Station_Count,total_population,total_population_moe,median_household_income,median_household_income_moe,per_capita_income,per_capita_income_moe,poverty_universe,poverty_universe_moe,poverty_count,poverty_count_moe,poverty_rate,aggregate_travel_time_minutes,aggregate_travel_time_minutes_moe,workers_with_commute,workers_with_commute_moe,average_commute_time,Regular_Gas_Price,Mid_Grade_Gas_Price,Premium_Gas_Price,Diesel_Gas_Price,Gas_Price_Date,Station_Count,Stations_With_Nearest_Neighbor,Average_Nearest_Station_Distance_Miles,Median_Nearest_Station_Distance_Miles,Min_Nearest_Station_Distance_Miles,Max_Nearest_Station_Distance_Miles,EVs_Per_100k_People,Charging_Stations_Per_100k_People,EVs_Per_Charging_Station,DC_Fast_Charger_Share,Public_Station_Share
North Carolina,NC,70164,2021,4425,1805,1912,109,10470214,NA,66186,380,37641,188,10186155,2180,1357418,16053,13.326107839513536,107793965,494298,4310113,13191,25.009544993367925,4.219,4.655,5.052,5.499,5/7/26,2021,2021,0.76,0.12,0,166.83,670.1295694624771,19.302375290514597,34.717466600692724,28.97271268057785,94.6066303809995
North Dakota,ND,959,113,136,147,109,4,776874,NA,73959,1131,40748,450,750776,491,80810,3337,10.763530000959008,6774545,106564,378569,2332,17.895139327308893,4.166,4.521,4.929,5.227,5/7/26,113,113,2.04,0.2,0,40.83,123.44344127876593,14.545473268509436,8.486725663716815,51.9434628975265,96.46017699115045
Ohio,OH,50393,2064,4232,1496,1920,144,11774683,NA,66990,272,37729,162,11472644,2055,1526507,17011,13.305625102635451,118947335,595911,5031783,12645,23.63920204826003,4.782,5.313,5.823,5.933,5/7/26,2064,2064,0.66,0.09,0,23.56,427.9775514975647,17.529134329985784,24.415213178294575,26.11731843575419,93.02325581395348
Oklahoma,OK,22843,437,912,989,393,44,3970497,NA,61364,451,33630,250,3847702,1040,585991,6900,15.229635767011064,36994465,192185,1658016,4888,22.312489746781697,3.988,4.408,4.699,5.038,5/7/26,437,437,2.15,0.3,0,42.35,575.3184047236404,11.006178823457114,52.27231121281464,52.02524986849027,89.93135011441647
Oregon,OR,64361,1743,3243,1272,1641,102,4229374,NA,76632,539,41805,256,4149034,1646,494158,9246,11.910194035527306,39780580,282838,1707132,7977,23.302579999671963,5.346,5.551,5.832,6.243,5/7/26,1743,1743,0.69,0.07,0,49.85,1521.7618493895313,41.21177271151712,36.925415949512335,28.172757475083056,94.14802065404476
Pennsylvania,PA,70154,2127,4161,1881,2009,118,12989208,NA,73170,347,41234,183,12582125,1889,1482439,18052,11.7821035794828,146141400,650543,5466237,17000,26.735284254963695,4.695,5.087,5.475,5.985,5/7/26,2127,2127,0.67,0.06,0,22.99,540.0945153853876,16.375132340632316,32.9826046074283,31.132075471698112,94.45228020686413
Rhode Island,RI,6396,365,791,127,334,31,1094250,NA,81370,1213,43324,529,1051789,589,118033,4599,11.222117744148305,12409750,155612,490538,3963,25.298243968866835,4.492,5.13,5.54,5.672,5/7/26,365,365,7.17,0.01,0,2517.52,584.5099383139136,33.35618003198538,17.523287671232875,13.83442265795207,91.5068493150685
South Carolina,SC,20873,744,1354,961,671,73,5142750,NA,63623,486,36072,266,5002332,1479,717849,11836,14.350287026131012,54759450,395881,2144553,9931,25.534202232353316,4.205,4.64,5.028,5.387,5/7/26,744,744,1.06,0.19,0,16.59,405.87234456273393,14.466968061834622,28.05510752688172,41.511879049676025,90.18817204301075
South Dakota,SD,1675,121,185,160,119,2,890342,NA,69457,788,36850,445,860878,590,105542,2944,12.259809171566705,7168230,96996,410805,2850,17.44922773578705,4.256,4.416,4.868,5.238,5/7/26,121,121,2.49,0.27,0,53.23,188.12995455678828,13.590283284400826,13.84297520661157,46.3768115942029,98.34710743801652
Tennessee,TN,33221,1228,2380,1004,1108,120,6923772,NA,64035,350,36040,208,6759549,2334,943583,13561,13.959259708007147,73963710,458627,2901815,10386,25.48877512866947,4.211,4.661,5.051,5.243,5/7/26,1228,1228,0.84,0.05,0,22.68,479.81071589301325,17.735997083670576,27.052931596091206,29.66903073286052,90.22801302931596
Texas,TX,230125,3994,8317,4911,3742,252,29243342,NA,73035,227,37514,130,28615931,3764,3990326,37547,13.944421378427284,325400930,1041657,12242840,23664,26.57887630647791,4.095,4.569,4.941,5.15,5/7/26,3994,3994,0.83,0.13,0,60.79,786.9312611397152,13.657809699041922,57.61767651477216,37.12579377078924,93.69053580370556
Utah,UT,39998,1051,2330,837,993,58,3283809,NA,86833,674,37023,249,3231630,1188,275188,8043,8.51545504900004,30465050,204486,1389622,5915,21.923264024317405,4.501,4.777,5.027,5.486,5/7/26,1051,1051,0.48,0.02,0,49.45,1218.0367372158369,32.00551554612342,38.05708848715509,26.428796968740134,94.48144624167459
Vermont,VT,7816,560,1175,295,538,22,643816,NA,74014,1049,41680,571,620877,246,64739,2485,10.427024998510172,6694620,88211,286834,2660,23.33970170900242,4.527,5.05,5.441,5.826,5/7/26,560,560,0.63,0.08,0,15.44,1214.011456689489,86.98137356014762,13.957142857142857,20.068027210884352,96.07142857142857
Virginia,VA,84936,2024,4497,1749,1842,182,8624511,NA,87249,428,47210,250,8379773,2104,836686,13817,9.98459027470076,102838440,510749,3691483,10143,27.85829976732928,4.326,4.777,5.15,5.62,5/7/26,2024,2024,0.55,0.06,0,27.02,984.8210524631484,23.46799720007314,41.96442687747036,28.001921229586937,91.00790513833992
Washington,WA,152101,3237,7128,2110,3015,222,7688549,NA,90325,433,48685,231,7553642,2065,747538,12498,9.89639170085106,86033295,396856,3147532,8664,27.33357278019731,5.763,6.002,6.26,6.845,5/7/26,3237,3237,0.38,0.01,0,28.04,1978.279646783808,42.10157209117091,46.98826073524869,22.840441654037672,93.14179796107507
West Virginia,WV,2758,210,377,217,187,23,1792967,NA,55217,577,31462,341,1736883,1105,291860,7189,16.803664956131186,17717955,203956,673562,4316,26.30486131937372,4.43,4.858,5.32,5.665,5/7/26,210,210,1.79,0.27,0,21.33,153.8232438187652,11.71242973239329,13.133333333333333,36.53198653198653,89.04761904761905
Wisconsin,WI,24943,920,1547,870,881,39,5882128,NA,72458,372,40130,248,5743164,1235,611661,7049,10.650244360077476,59310420,244265,2673840,6928,22.18173862310385,4.404,4.914,5.496,5.679,5/7/26,920,920,1.28,0.12,0,27.18,424.04721556552323,15.640598096471209,27.11195652173913,35.995035167563096,95.76086956521739
Wyoming,WY,1139,131,177,175,119,12,577929,NA,72495,1201,39547,743,564105,349,60134,2378,10.660072149688444,4719470,112092,262653,2397,17.968460287908382,4.402,4.696,4.984,5.463,5/7/26,131,131,3.2,0.35,0,47.45,197.08303269086687,22.6671442339803,8.694656488549619,49.71590909090909,90.83969465648855
