State,State_Abbr,EV_Count,Population,Median_Household_Income,Per_Capita_Income,Pct_Bachelors_or_Higher,Unemployment_Rate,Poverty_Rate,Average_Commute_Time,AFDC_Charging_Station_Count,Official_Charger_Count,Level2_Charger_Count,DC_Fast_Charger_Count,Public_Station_Count,Private_Station_Count,PlugShare_Station_Count,EVs_Per_10000_Residents,Chargers_Per_1000_EVs,PlugShare_Per_10000_Residents,AFDC_vs_PlugShare_Gap,EV_Adoption_Score,Official_Charging_Infrastructure_Score,Consumer_Facing_Charging_Visibility_Score,Median_Income_Score,Population_Score,Poverty_Rate_Score,Economic_Readiness_Score,EV_Opportunity_Score,Opportunity_Rank,Opportunity_Category,EV_Data_Available,AFDC_Data_Available,Census_Data_Available,PlugShare_Data_Available,PlugShare_Source,PlugShare_Scrape_Date
Texas,TX,230125,29243342,73035,37514,32.26589698200217,5.220116892750408,13.944421378427284,26.58,3989,13106,8318,4788,3737,252,15011,78.69,56.95,5.13,-11022,21.67,5.01,12.79,44.09,73.92,44.24,53.09,24.03,28,Medium,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Iowa,IA,9031,3188836,70571,37949,30.28004853599049,3.823290068310395,11.108485305433897,19.65,509,1345,773,572,485,24,1768,28.32,148.93,5.54,-1259,5.27,39.67,14.99,38.67,6.73,68.13,37.93,23.49,29,Medium,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Kansas,KS,11271,2935922,69747,38108,34.68767518634637,4.006327031409191,11.581155861637011,19.69,612,1540,1162,378,572,40,1688,38.39,136.63,5.75,-1076,8.55,35.04,16.09,36.86,6.08,64.15,35.81,23.12,30,Medium,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Montana,MT,4608,1091840,66341,37837,33.978765497230285,3.8929935113775818,12.411913951666987,18.81,164,482,227,255,159,5,1106,42.2,104.6,10.13,-942,9.79,22.97,39.57,29.37,1.33,57.15,29.29,22.43,31,Medium,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Pennsylvania,PA,70154,12989208,73170,41234,33.75646343268351,5.369599774875239,11.7821035794828,26.74,2113,6011,4138,1873,1995,118,6136,54.01,85.68,4.72,-4023,13.63,15.84,10.59,44.39,32.01,62.46,46.09,21.84,32,Medium,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Wisconsin,WI,24943,5882128,72458,40130,32.02389131364427,3.3617020732084955,10.650244360077476,22.18,921,2420,1552,868,882,39,3438,42.4,97.02,5.84,-2517,9.86,20.11,16.6,42.82,13.68,71.99,42.83,21.67,33,Medium,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
North Carolina,NC,70164,10470214,66186,37641,33.86575669760874,5.075744756954977,13.326107839513536,25.01,2013,6207,4420,1787,1904,109,6248,67.01,88.46,5.97,-4235,17.87,16.88,17.26,29.03,25.51,49.45,34.1,21.59,34,Medium,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Nebraska,NE,6920,1958939,71722,38585,33.463338229621634,3.0689636414131147,10.398441171678073,19.09,332,756,516,240,322,10,1213,35.33,109.25,6.19,-881,7.55,24.72,18.46,41.2,3.56,74.11,39.78,21.54,35,Low,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
West Virginia,WV,2758,1792967,55217,31462,22.71116112963212,6.0612595139814855,16.803664956131186,26.3,207,582,369,213,184,23,1158,15.38,211.02,6.46,-951,1.06,63.07,19.89,4.91,3.13,20.16,8.95,21.36,36,Low,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Missouri,MO,26861,6154422,65920,36754,31.19323646992731,4.296559338782588,12.820297552948102,23.76,1381,3385,2564,821,1312,69,3208,43.65,126.02,5.21,-1827,10.26,31.04,13.21,28.44,14.38,53.71,31.81,21.28,37,Low,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Ohio,OH,50393,11774683,66990,37729,30.370645802810277,5.013970845036947,13.305625102635451,23.64,2064,5721,4235,1486,1920,144,5537,42.8,113.53,4.7,-3473,9.98,26.33,10.48,30.8,28.87,49.62,35.87,20.62,38,Low,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Alaska,AK,2697,734821,86370,42828,30.74828503862136,6.35979867309779,10.487625001219865,19.29,84,217,120,97,75,9,323,36.7,80.46,4.4,-239,8,13.87,8.83,73.41,0.4,73.36,51.49,20.47,39,Low,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Idaho,ID,8501,1854109,70214,34919,30.20904135623643,3.763041018403137,11.01173363290602,21.4,271,762,476,286,241,30,1091,45.85,89.64,5.88,-820,10.98,17.33,16.81,37.89,3.29,68.95,36.83,19.9,40,Low,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Alabama,AL,13047,5028092,59609,33344,27.208387292476058,5.152174360946664,15.722492125943194,25.34,661,2170,1266,904,551,110,2307,25.95,166.32,4.59,-1646,4.5,46.22,9.87,14.57,11.48,29.27,18.05,19.12,41,Low,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
New Mexico,NM,10276,2112463,58722,32667,29.074668667724847,6.2305713339087285,18.283786406923145,23.14,508,1330,756,574,460,48,1744,48.64,129.43,8.26,-1236,11.89,32.32,29.53,12.62,3.96,7.69,8.54,18.8,42,Low,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Tennessee,TN,33221,6923772,64035,36040,29.706987941274868,5.0375053376063335,13.959259708007147,25.49,1235,3374,2388,986,1115,120,3651,47.98,101.56,5.27,-2416,11.67,21.82,13.54,24.3,16.36,44.12,27.86,18.54,43,Low,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Indiana,IN,26101,6784403,67173,35578,28.235267120629302,4.492525533836474,12.30361800145239,23.98,766,2484,1550,934,701,65,2957,38.47,95.17,4.36,-2191,8.57,19.41,8.64,31.2,16.01,58.06,34.7,17.82,44,Low,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
South Carolina,SC,20873,5142750,63623,36072,30.640913106358813,5.16988177228665,14.350287026131012,25.53,746,2305,1355,950,673,73,2561,40.59,110.43,4.98,-1815,9.26,25.16,11.97,23.39,11.77,40.82,25.14,17.61,45,Low,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Arkansas,AR,7108,3018669,56335,31868,24.70555115616481,5.147137052830742,16.228857632436906,22.16,395,1148,886,262,366,29,1471,23.55,161.51,4.87,-1076,3.72,44.41,11.39,7.37,6.29,25,12.34,17.2,46,Low,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Mississippi,MS,3590,2958846,52985,29209,23.881814052782016,6.423147033353136,19.19687815143246,25.44,248,782,453,329,220,28,879,12.13,217.83,2.97,-631,0,65.63,1.2,0,6.14,-0,1.84,17.05,47,Low,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Oklahoma,OK,22843,3970497,61364,33630,27.2668071835271,4.8730324978043456,15.229635767011064,22.31,435,1906,911,995,391,44,1857,57.53,83.44,4.68,-1422,14.78,14.99,10.34,18.43,8.75,33.42,20.02,15.48,48,Low,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Kentucky,KY,11617,4502935,60183,33515,26.47245337547508,5.087176199674407,16.11704673650374,23.91,417,1261,829,432,389,28,1803,25.8,108.55,4,-1386,4.45,24.45,6.74,15.83,10.12,25.94,17.15,12.97,49,Low,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Louisiana,LA,8150,4640546,57852,32981,26.130434141818423,6.576651646684492,18.654776592546447,25.97,321,962,587,375,270,51,1275,17.56,118.04,2.75,-954,1.77,28.03,0,10.7,10.48,4.57,8.79,9.82,50,Low,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
