State,State_Abbr,EV_Count,EV_Data_Available,AFDC_Charging_Station_Count,Level2_Charger_Count,DC_Fast_Charger_Count,Public_Station_Count,Private_Station_Count,AFDC_Data_Available,Population,Median_Household_Income,Per_Capita_Income,Pct_Bachelors_or_Higher,Unemployment_Rate,Poverty_Rate,Average_Commute_Time,Census_Data_Available,PlugShare_Station_Count,PlugShare_Source,PlugShare_Scrape_Date,PlugShare_Data_Available
Pennsylvania,PA,70154,TRUE,2113,4138,1873,1995,118,TRUE,12989208,73170,41234,33.75646343268351,5.369599774875239,11.7821035794828,26.735284254963695,TRUE,6136,PlugShare U.S. Directory,2026-05-04,TRUE
Rhode Island,RI,6396,TRUE,364,791,126,333,31,TRUE,1094250,81370,43324,36.2804103287505,5.880374403315949,11.222117744148305,25.298243968866835,TRUE,607,PlugShare U.S. Directory,2026-05-04,TRUE
South Carolina,SC,20873,TRUE,746,1355,950,673,73,TRUE,5142750,63623,36072,30.640913106358813,5.16988177228665,14.350287026131012,25.534202232353316,TRUE,2561,PlugShare U.S. Directory,2026-05-04,TRUE
South Dakota,SD,1675,TRUE,120,185,159,118,2,TRUE,890342,69457,36850,30.367563290870596,3.1090296887551916,12.259809171566705,17.44922773578705,TRUE,731,PlugShare U.S. Directory,2026-05-04,TRUE
Tennessee,TN,33221,TRUE,1235,2388,986,1115,120,TRUE,6923772,64035,36040,29.706987941274868,5.0375053376063335,13.959259708007147,25.48877512866947,TRUE,3651,PlugShare U.S. Directory,2026-05-04,TRUE
Texas,TX,230125,TRUE,3989,8318,4788,3737,252,TRUE,29243342,73035,37514,32.26589698200217,5.220116892750408,13.944421378427284,26.57887630647791,TRUE,15011,PlugShare U.S. Directory,2026-05-04,TRUE
Utah,UT,39998,TRUE,1046,2325,821,988,58,TRUE,3283809,86833,37023,36.130931941575135,3.352084411687373,8.51545504900004,21.923264024317405,TRUE,3604,PlugShare U.S. Directory,2026-05-04,TRUE
Vermont,VT,7816,TRUE,561,1177,284,539,22,TRUE,643816,74014,41680,41.724669032509645,3.8400009125206385,10.427024998510172,23.33970170900242,TRUE,1378,PlugShare U.S. Directory,2026-05-04,TRUE
Virginia,VA,84936,TRUE,2014,4496,1707,1832,182,TRUE,8624511,87249,47210,40.96576834953444,4.434376734631586,9.98459027470076,27.85829976732928,TRUE,5726,PlugShare U.S. Directory,2026-05-04,TRUE
Washington,WA,152101,TRUE,3233,7110,2115,3011,222,TRUE,7688549,90325,48685,37.952568336177755,4.988725236352218,9.89639170085106,27.33357278019731,TRUE,8330,PlugShare U.S. Directory,2026-05-04,TRUE
West Virginia,WV,2758,TRUE,207,369,213,184,23,TRUE,1792967,55217,31462,22.71116112963212,6.0612595139814855,16.803664956131186,26.30486131937372,TRUE,1158,PlugShare U.S. Directory,2026-05-04,TRUE
Wisconsin,WI,24943,TRUE,921,1552,868,882,39,TRUE,5882128,72458,40130,32.02389131364427,3.3617020732084955,10.650244360077476,22.18173862310385,TRUE,3438,PlugShare U.S. Directory,2026-05-04,TRUE
Wyoming,WY,1139,TRUE,131,178,174,119,12,TRUE,577929,72495,39547,28.98938749674581,3.8269456257036056,10.660072149688444,17.968460287908382,TRUE,521,PlugShare U.S. Directory,2026-05-04,TRUE
